GTSP,dataSource,refGenome,Timepoint,CellType,TotalReads,InferredCells,UniqueSites,Gini,Chao1,Shannon,Pielou,UC50,Included,runDate,patient
LS-13,454,hg38,D-1,TCELL,"9,144","1,759","1,759",0.000,"1,547,920",7.47,1.000,880,yes,NA,pin32
GTSP4698,Illumina,hg38,D1,PBMC,"187,157",58,53,0.081,347,3.93,0.990,25,yes,2022-04-05,pin32
GTSP4707,Illumina,hg38,W2,PBMC,"202,534",162,157,0.030,"3,064",5.04,0.997,77,yes,2022-04-05,pin32
GTSP3211,Illumina,hg38,W8,PBMC,"245,025",36,21,0.294,40,2.89,0.948,6,no,2021-01-24,pin32
GTSP3212,Illumina,hg38,W8,PBMC,34,18,9,0.284,11,2.06,0.938,3,no,2021-01-24,pin32
GTSP4716,Illumina,hg38,W8,PBMC,"318,683",324,312,0.036,"4,857",5.73,0.997,151,yes,2023-03-01,pin32
LS-14,454,hg38,M2,TCELL,"3,302",42,32,0.164,53,3.41,0.983,12,yes,NA,pin32
GTSP4725,Illumina,hg38,Y4,PBMC,"221,426",47,40,0.138,250,3.60,0.977,17,yes,2022-04-05,pin32
LS-15,454,hg38,Y7,TCELL,"2,642",7,5,0.171,6,1.55,0.963,2,yes,NA,pin32
GTSP4734,Illumina,hg38,Y8,PBMC,"91,603",47,46,0.021,541,3.82,0.998,23,yes,2023-01-26,pin32
GTSP3213,Illumina,hg38,Y8.5,PBMC,"110,212",14,8,0.268,18,1.93,0.929,3,yes,2021-01-24,pin32
GTSP4741,Illumina,hg38,Y15,PBMC,"256,575",28,24,0.128,94,3.12,0.980,11,yes,2022-04-05,pin32
GTSP3214,NA,NA,y8.5,PBMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-24,pin32
